group	map	name	width	height	warpCount	region	mapType	headerOffset	layoutOffset	eventsOffset
1	36	区域131	30	24	3	131	4	0x34F604	0x72C968	0x725910
1	37	区域131	85	80	2	131	4	0x34F620	0x303B68	0x721C24
1	38	区域131	10	8	2	131	4	0x34F63C	0x31EC58	0x3AF4CC
1	39	区域132	48	22	2	132	4	0x34F658	0x3043CC	0x3AF5C0
1	40	区域132	51	22	9	132	4	0x34F674	0x304CB4	0x72AEC8
1	41	区域132	45	22	5	132	4	0x34F690	0x305494	0x726468
1	42	区域133	28	34	6	133	8	0x34F6AC	0x305C28	0x3AF9D8
1	43	区域133	32	22	5	133	8	0x34F6C8	0x3061CC	0x3AFA8C
1	44	区域133	22	27	2	133	8	0x34F6E4	0x306694	0x3AFB34
1	45	区域133	24	26	3	133	8	0x34F700	0x306B98	0x73283C
1	46	区域133	5	7	2	133	8	0x34F71C	0x320EDC	0x3AFC80
1	47	区域134	36	22	6	134	8	0x34F738	0x3071EC	0x722D8C
1	48	区域134	36	22	7	134	8	0x34F754	0x307840	0x3AFE1C
1	49	区域134	36	22	10	134	8	0x34F770	0x307E94	0x3AFF58
1	50	区域134	36	22	7	134	8	0x34F78C	0x3084E8	0x3B00DC
1	51	区域134	36	22	7	134	8	0x34F7A8	0x308B3C	0x3B02D8
1	52	区域134	31	19	5	134	8	0x34F7C4	0x308FFC	0x3B044C
1	53	区域134	31	19	6	134	8	0x34F7E0	0x3094BC	0x3B0660
1	54	区域134	31	19	7	134	8	0x34F7FC	0x30997C	0x3B0784
1	55	区域134	31	19	5	134	8	0x34F818	0x309E3C	0x3B0904
1	56	区域134	17	19	6	134	8	0x34F834	0x30A0E8	0x3B0A20
1	57	区域134	17	20	3	134	8	0x34F850	0x30A3B4	0x733D68
1	58	区域134	5	7	1	134	8	0x34F86C	0x321330	0x720F70
1	59	区域135	38	35	10	135	8	0x34F888	0x30AE3C	0x724E64
1	60	区域135	38	38	5	135	8	0x34F8A4	0x30B9A8	0x3B0D20
1	61	区域135	38	35	10	135	8	0x34F8C0	0x30C430	0x7323D0
1	62	区域135	38	35	1	135	8	0x34F8DC	0x30CEB8	0x3B0ED4
1	63	区域136	51	36	13	136	3	0x34F8F8	0x30DD38	0x3B0F98
1	64	区域136	54	35	7	136	3	0x34F914	0x30EC24	0x7239E4
1	65	区域136	57	40	13	136	3	0x34F930	0x30FE1C	0x3B1168
1	66	区域136	48	36	11	136	3	0x34F94C	0x310BC4	0x72534C
1	67	区域136	13	11	3	136	8	0x34F968	0x31C028	0x3B12CC
1	68	区域136	13	11	3	136	8	0x34F984	0x31C028	0x3B1340
1	69	区域136	13	11	3	136	8	0x34F9A0	0x31C028	0x3B13CC
1	70	区域136	13	11	3	136	8	0x34F9BC	0x31C028	0x3B1440
1	71	区域136	13	11	3	136	8	0x34F9D8	0x31C16C	0x3B1484
1	72	区域141	40	23	8	141	4	0x34F9F4	0x311318	0x7262E4
1	73	区域141	40	23	6	141	4	0x34FA10	0x311A6C	0x727324
1	74	区域141	40	23	1	141	4	0x34FA2C	0x3121C0	0x72B73C
1	75	区域137	13	13	2	137	8	0x34FA48	0x31F178	0x3B18B0
1	76	区域137	13	13	2	137	8	0x34FA64	0x31F2F0	0x3B18EC
1	77	区域137	13	13	2	137	8	0x34FA80	0x31F468	0x3B1928
1	78	区域137	28	24	2	137	8	0x34FA9C	0x31F9CC	0x720F38
1	79	区域137	13	20	2	137	8	0x34FAB8	0x31FBF8	0x3B19B8
1	80	区域137	11	13	1	137	8	0x34FAD4	0x31FD3C	0x3B19EC
1	81	区域138	48	40	6	138	4	0x34FAF0	0x3130E4	0x3B1B2C
1	82	区域138	48	40	4	138	4	0x34FB0C	0x314008	0x729570
1	83	区域139	38	24	7	139	4	0x34FB28	0x31474C	0x7213FC
1	84	区域139	38	23	11	139	4	0x34FB44	0x314E44	0x725440
1	85	区域139	38	24	12	139	4	0x34FB60	0x315588	0x723358
1	86	区域139	38	24	10	139	4	0x34FB7C	0x315CCC	0x72D5E4
1	87	区域139	38	24	7	139	4	0x34FB98	0x316410	0x726F28
1	88	区域140	24	20	4	140	8	0x34FBB4	0x3167F4	0x3B2270
1	89	区域140	24	20	2	140	8	0x34FBD0	0x316BD8	0x3B22E4
1	90	区域140	24	20	2	140	8	0x34FBEC	0x316FBC	0x3B2368
1	91	区域140	24	20	2	140	8	0x34FC08	0x3173A0	0x3B241C
1	92	区域140	24	20	2	140	8	0x34FC24	0x317784	0x3B2604
1	93	区域140	24	20	2	140	8	0x34FC40	0x317B68	0x7290AC
1	94	区域140	24	20	3	140	8	0x34FC5C	0x317F4C	0x720D74
1	95	区域142	49	40	5	142	8	0x34FC78	0x318EC0	0x726E10
1	96	区域175	18	16	2	175	4	0x34FC94	0x339290	0x3B29B8
1	97	区域175	57	54	6	175	3	0x34FCB0	0x33D660	0x728FA8
1	98	区域175	15	18	2	175	4	0x34FCCC	0x33DC08	0x3B2C48
1	99	区域175	48	46	2	175	4	0x34FCE8	0x33ED6C	0x3B2D44
1	100	区域175	15	11	2	175	4	0x34FD04	0x33EEDC	0x3B2D68
1	101	区域175	19	22	1	175	4	0x34FD20	0x33D9C8	0x7234EC
1	102	区域175	16	15	1	175	4	0x34FD3C	0x33FF60	0x3B2E3C
1	103	区域175	27	19	3	175	4	0x34FD58	0x33F304	0x3B2EE0
1	104	区域175	11	23	2	175	4	0x34FD74	0x33F524	0x3B2F64
1	105	区域175	16	11	2	175	4	0x34FD90	0x33F6A8	0x3B3030
1	106	区域175	31	23	3	175	4	0x34FDAC	0x33FC60	0x3B314C
1	107	区域175	6	7	2	175	4	0x34FDC8	0x33FCD8	0x3B3188
1	108	区域175	8	6	2	175	4	0x34FDE4	0x33FD5C	0x3B31DC
1	109	区域176	57	47	6	176	3	0x34FE00	0x33A7A8	0x733AFC
1	110	区域177	30	36	3	177	4	0x34FE1C	0x340E38	0x3B3438
1	111	区域177	20	20	6	177	4	0x34FE38	0x34117C	0x3B34AC
1	112	区域177	24	20	3	177	4	0x34FE54	0x341560	0x3B3508
1	113	区域177	25	26	1	177	4	0x34FE70	0x341A98	0x3B35B4
1	114	区域178	29	27	1	178	8	0x34FE8C	0x3405A4	0x3B381C
1	115	区域180	16	11	4	180	4	0x34FEA8	0x3436C4	0x3B3850
1	116	区域180	13	11	5	180	4	0x34FEC4	0x343808	0x3B3898
1	117	区域180	13	11	5	180	4	0x34FEE0	0x34394C	0x3B38E0
1	118	区域180	13	11	5	180	4	0x34FEFC	0x343A90	0x3B3928
1	119	区域180	13	11	5	180	4	0x34FF18	0x343BD4	0x3B3970
1	120	区域180	16	15	2	180	4	0x34FF34	0x343DD8	0x3B39D0
1	121	区域182	60	32	6	182	3	0x34FF50	0x345030	0x3B3B34
1	122	区域183	32	24	1	183	4	0x34FF6C	0x347A50	0x3B3B50
1	123	区域138	48	40	4	138	4	0x729DA0	0x72ACC4	0x7316C8
1	124	区域139	38	24	12	139	4	0x7316DC	0x731E20	0x7296B0
1	125	区域140	34	28	6	140	8	0x732030	0x733038	0x732708
1	126	区域140	30	26	7	140	8	0x7324C0	0x733674	0x732180
1	127	区域126	54	69	6	126	3	0x73450C	0x736250	0x736584
1	128	区域134	36	22	6	134	8	0x7367A0	0x736DF4	0x722F34
1	129	区域134	36	22	6	134	8	0x73701C	0x737670	0x7376F8
2	0	区域174	20	23	2	174	3	0x34FF88	0x34873C	0x3B3B74
2	1	区域179	18	17	2	179	8	0x34FFA4	0x341FCC	0x3B3C40
2	2	区域179	18	17	3	179	8	0x34FFC0	0x342254	0x3B3D14
2	3	区域179	18	17	3	179	8	0x34FFDC	0x3424DC	0x3B3DE8
2	4	区域179	18	17	3	179	8	0x34FFF8	0x342764	0x3B3EBC
2	5	区域179	18	17	3	179	8	0x350014	0x3429EC	0x3B3F90
2	6	区域179	18	17	3	179	8	0x350030	0x342C74	0x3B4064
2	7	区域179	18	17	3	179	8	0x35004C	0x342EFC	0x3B4138
2	8	区域179	18	17	3	179	8	0x350068	0x343184	0x3B420C
2	9	区域179	18	16	2	179	8	0x350084	0x3433E8	0x3B4248
2	10	区域179	19	17	3	179	8	0x3500A0	0x341D44	0x3B4308
2	11	区域179	5	7	1	179	8	0x3500BC	0x343454	0x3B4330
2	12	区域181	11	11	2	181	4	0x3500D8	0x3454D8	0x3B4354
2	13	区域181	11	11	5	181	4	0x3500F4	0x3455F0	0x3B43A8
2	14	区域181	11	11	4	181	4	0x350110	0x345708	0x3B43DC
2	15	区域181	11	11	4	181	4	0x35012C	0x345820	0x3B4410
2	16	区域181	11	11	4	181	4	0x350148	0x345938	0x3B445C
2	17	区域181	11	11	4	181	4	0x350164	0x345A50	0x3B4490
2	18	区域181	11	11	4	181	4	0x350180	0x345B68	0x3B44C4
2	19	区域181	11	11	4	181	4	0x35019C	0x345C80	0x3B44F8
2	20	区域181	11	11	4	181	4	0x3501B8	0x345D98	0x3B452C
2	21	区域181	11	11	4	181	4	0x3501D4	0x345EB0	0x3B4560
2	22	区域181	11	11	1	181	4	0x3501F0	0x345FC8	0x3B45AC
2	23	区域181	11	11	1	181	4	0x35020C	0x3460E0	0x3B45E0
2	24	区域181	11	11	1	181	4	0x350228	0x3461F8	0x3B4614
2	25	区域181	11	11	1	181	4	0x350244	0x346310	0x3B4648
2	26	区域181	11	11	1	181	4	0x350260	0x346428	0x3B467C
2	27	区域188	23	17	1	188	4	0x35027C	0x34675C	0x3B4698
2	28	区域189	23	17	1	189	4	0x350298	0x346A90	0x3B46B4
2	29	区域190	23	17	1	190	4	0x3502B4	0x346DC4	0x3B46D0
2	30	区域191	23	17	1	191	4	0x3502D0	0x3470F8	0x3B46EC
2	31	区域192	23	17	1	192	4	0x3502EC	0x34742C	0x3B4708
2	32	区域193	23	17	1	193	4	0x350308	0x349DC8	0x3B4724
2	33	区域194	23	17	1	194	4	0x350324	0x34A0FC	0x3B4740
2	34	区域185	30	7	2	185	4	0x350340	0x3451F8	0x3B4788
2	35	区域186	15	16	1	186	4	0x35035C	0x347C54	0x3B48BC
2	36	区域174	17	26	2	174	4	0x350378	0x348AD4	0x721EFC
2	37	区域174	19	25	1	174	4	0x350394	0x348EB0	0x3B4930
2	38	区域174	21	23	1	174	4	0x3503B0	0x34929C	0x3B4964
2	39	区域174	7	7	2	174	4	0x3503CC	0x349324	0x3B4988
2	40	区域174	7	7	2	174	4	0x3503E8	0x3493AC	0x3B49AC
2	41	区域174	7	7	2	174	4	0x350404	0x349434	0x3B49D0
2	42	区域174	7	7	2	174	4	0x350420	0x3494BC	0x3B49F4
2	43	区域174	7	7	2	174	4	0x35043C	0x349544	0x3B4A18
2	44	区域174	7	7	2	174	4	0x350458	0x3495CC	0x3B4A3C
2	45	区域174	7	7	2	174	4	0x350474	0x349654	0x3B4A60
2	46	区域174	7	7	2	174	4	0x350490	0x3496DC	0x3B4A84
2	47	区域174	7	7	2	174	4	0x3504AC	0x349764	0x3B4AA8
2	48	区域174	7	7	2	174	4	0x3504C8	0x3497EC	0x3B4ACC
2	49	区域174	7	7	2	174	4	0x3504E4	0x349874	0x3B4AF0
2	50	区域174	7	7	2	174	4	0x350500	0x3498FC	0x3B4B14
2	51	区域174	7	7	2	174	4	0x35051C	0x349984	0x3B4B38
2	52	区域174	7	7	2	174	4	0x350538	0x349A0C	0x3B4B5C
2	53	区域174	7	7	2	174	4	0x350554	0x349A94	0x3B4B80
2	54	区域174	17	7	2	174	4	0x350570	0x34A210	0x3B4BA4
2	55	区域174	30	100	3	174	4	0x35058C	0x34B9A4	0x3B4BD0
2	56	区域187	30	30	1	187	3	0x3505A8	0x348380	0x3B4C1C
2	57	区域195	27	39	1	195	4	0x3505C4	0x34EB70	0x3B4CD8
2	58	区域187	17	13	1	187	8	0x3505E0	0x343FB8	0x3B4D24
2	59	区域174	17	13	1	174	8	0x3505FC	0x343FB8	0x3B4D70
2	60	区域134	36	22	6	134	8	0x73770C	0x737D60	0x737DE8
2	61	区域134	36	22	6	134	8	0x737DFC	0x738450	0x7384D8
2	62	区域135	38	38	8	135	8	0x7384EC	0x739058	0x739558
2	63	区域135	38	35	10	135	8	0x739BBC	0x73A644	0x73A74C
2	64	区域136	48	36	11	136	3	0x73A760	0x73B508	0x73B630
3	0	树果森林	24	20	4	88	1	0x350618	0x2DD4C0	0x7342F4
3	1	冻瀑洞窟	48	40	5	89	1	0x350634	0x2DE3E4	0x72BDC4
3	2	火箭队仓库	48	40	7	90	1	0x350650	0x2DF308	0x727D40
3	3	训练家塔	48	40	14	91	1	0x35066C	0x2E022C	0x72C35C
3	4	点之穴	24	20	6	92	1	0x350688	0x2E0610	0x3B549C
3	5	不归之穴	48	40	11	93	1	0x3506A4	0x2E1534	0x725E90
3	6	标志之林	60	40	13	94	1	0x3506C0	0x2E2818	0x7227C0
3	7	变幻洞窟	48	40	11	95	1	0x3506DC	0x2E373C	0x72DA74
3	8	阿斯卡纳石室	24	20	5	96	1	0x3506F8	0x2E3B20	0x7265B0
3	9	第3岛隧道	24	20	1	97	1	0x350714	0x2E3F04	0x722BE8
3	10	阿斯卡纳的钥匙	66	55	16	98	1	0x350730	0x31E8D4	0x728128
3	11	阿斯卡纳的钥匙	48	40	0	98	1	0x35074C	0x2E4E28	0x3B5EB0
3	12	区域143	24	20	4	143	1	0x350768	0x321714	0x721204
3	13	区域144	48	20	4	144	1	0x350784	0x321EB8	0x3B6074
3	14	区域145	24	40	7	145	1	0x3507A0	0x32265C	0x3B62C8
3	15	区域146	48	40	8	146	1	0x3507BC	0x323580	0x3B646C
3	16	区域147	24	20	4	147	1	0x3507D8	0x323964	0x3B64F4
3	17	区域148	24	20	4	148	1	0x3507F4	0x323D48	0x3B657C
3	18	区域149	24	30	4	149	1	0x350810	0x32430C	0x3B65F8
3	19	那藏石室	24	40	0	101	3	0x35082C	0x2E55CC	0x3B6648
3	20	由格石室	24	80	11	102	3	0x350848	0x2E64F0	0x7260C0
3	21	阿利波卡石室	84	20	0	103	3	0x350864	0x2E7234	0x724FD0
3	22	科斗石室	108	20	4	104	3	0x350880	0x2E8338	0x72B92C
3	23	阿努泽石室	48	40	5	105	3	0x35089C	0x2E925C	0x721D60
3	24	澳利弗石室	24	40	3	106	3	0x3508B8	0x2E9A00	0x726C98
3	25	灯火温泉	24	20	2	107	3	0x3508D4	0x2E9DE4	0x720E8C
3	26	玉虹百货公司	72	20	2	108	3	0x3508F0	0x2EA948	0x72BB6C
3	27	区域109	72	20	0	109	3	0x35090C	0x2EB4AC	0x7282B4
3	28	区域110	24	80	6	110	3	0x350928	0x2EC3D0	0x72B0F4
3	29	区域111	72	20	3	111	3	0x350944	0x2ECF34	0x72212C
3	30	区域112	24	120	4	112	3	0x350960	0x2EE5D8	0x727B54
3	31	区域113	72	20	0	113	3	0x35097C	0x2EF13C	0x72994C
3	32	区域114	24	60	0	114	3	0x350998	0x2EFCA0	0x7276EC
3	33	区域115	72	20	2	115	3	0x3509B4	0x2F0804	0x7284DC
3	34	区域116	48	20	5	116	3	0x3509D0	0x2F0FA8	0x728AE8
3	35	区域117	24	160	0	117	3	0x3509EC	0x2F2DCC	0x7238FC
3	36	区域118	60	24	2	118	3	0x350A08	0x74CC24	0x721E14
3	37	区域119	24	60	0	119	3	0x350A24	0x2F42B4	0x727E98
3	38	区域120	120	20	2	120	3	0x350A40	0x2F5598	0x725734
3	39	区域121	24	50	0	121	3	0x350A5C	0x2F5F1C	0x7250E0
3	40	区域121	24	50	0	121	3	0x350A78	0x3206C0	0x724D58
3	41	区域122	48	24	2	122	3	0x350A94	0x2F6840	0x72559C
3	42	区域123	24	160	4	123	3	0x350AB0	0x2F8664	0x728968
3	43	区域124	24	40	0	124	3	0x350ACC	0x2F8E08	0x7268E0
3	44	区域125	72	20	1	125	3	0x350AE8	0x2F996C	0x7278C4
3	45	区域150	24	140	3	150	3	0x350B04	0x325D70	0x72B4B8
3	46	区域151	24	40	0	151	3	0x350B20	0x326514	0x72D6E8
3	47	区域152	24	40	1	152	3	0x350B3C	0x326CB8	0x3B8964
3	48	区域153	96	20	3	153	3	0x350B58	0x327BDC	0x7322D0
3	49	区域154	48	20	3	154	3	0x350B74	0x328380	0x3B8B10
3	50	区域155	1	1	0	155	3	0x350B90	0x3283A8	0x3B8B24
3	51	区域156	1	1	0	156	3	0x350BAC	0x3283D0	0x3B8B38
3	52	区域157	84	20	0	157	3	0x350BC8	0x329114	0x3B8B4C
3	53	区域158	24	60	0	158	3	0x350BE4	0x329C78	0x3B8B60
3	54	区域159	72	20	2	159	3	0x350C00	0x32A7DC	0x3B8C80
3	55	区域160	72	20	0	160	3	0x350C1C	0x32B340	0x3B8CC4
3	56	区域161	24	40	1	161	3	0x350C38	0x32BAE4	0x3B8D94
3	57	区域162	24	60	0	162	3	0x350C54	0x32C648	0x3B8E5C
3	58	区域163	24	80	1	163	3	0x350C70	0x32D56C	0x3B8F38
3	59	区域164	72	20	4	164	3	0x350C8C	0x32E0D0	0x3B8FA8
3	60	区域165	24	100	2	165	3	0x350CA8	0x32F3B4	0x3B90E0
3	61	区域166	48	40	1	166	3	0x350CC4	0x3302D8	0x3B92A0
3	62	区域167	120	40	1	167	3	0x350CE0	0x33287C	0x3B9328
3	63	区域168	24	40	0	168	3	0x350CFC	0x333020	0x3B93FC
3	64	区域169	24	80	2	169	3	0x350D18	0x333F44	0x3B9618
3	65	区域170	144	20	7	170	3	0x350D34	0x3355E8	0x3B96F4
4	0	树果森林	13	10	4	88	8	0x350D50	0x2D5200	0x3B974C
4	1	树果森林	12	9	3	88	8	0x350D6C	0x2D52FC	0x721CB0
4	2	树果森林	13	10	3	88	8	0x350D88	0x2D5424	0x3B980C
4	3	树果森林	13	14	3	88	8	0x350DA4	0x2D5668	0x3B99B8
5	0	冻瀑洞窟	11	9	3	89	8	0x350DC0	0x33AEAC	0x3B9A38
5	1	冻瀑洞窟	20	24	3	89	8	0x350DDC	0x2D86AC	0x3B9B78
5	2	冻瀑洞窟	10	9	3	89	8	0x350DF8	0x338D20	0x3B9C10
5	3	冻瀑洞窟	11	9	3	89	8	0x350E14	0x2D5BCC	0x3B9C84
5	4	冻瀑洞窟	15	10	4	89	8	0x350E30	0x2D5990	0x7314B0
5	5	冻瀑洞窟	15	10	3	89	8	0x350E4C	0x2D5AE0	0x3B9DA4
6	0	火箭队仓库	28	11	6	90	8	0x350E68	0x31A1FC	0x3B9ED8
6	1	火箭队仓库	19	10	1	90	8	0x350E84	0x31A39C	0x72089C
6	2	火箭队仓库	13	16	3	90	8	0x350EA0	0x2D732C	0x724C50
6	3	火箭队仓库	11	9	3	90	8	0x350EBC	0x2D5BCC	0x3BA0CC
6	4	火箭队仓库	11	9	3	90	8	0x350ED8	0x2D5840	0x3BA140
6	5	火箭队仓库	15	10	4	90	8	0x350EF4	0x2D5990	0x720990
6	6	火箭队仓库	15	10	3	90	8	0x350F10	0x2D5AE0	0x3BA2A8
6	7	火箭队仓库	11	9	3	90	8	0x350F2C	0x2D5840	0x3BA304
7	0	训练家塔	10	10	4	91	8	0x350F48	0x31A560	0x3BA350
7	1	训练家塔	10	9	4	91	8	0x350F64	0x31A474	0x3BA3C0
7	2	训练家塔	11	9	3	91	8	0x350F80	0x2D5754	0x721998
7	3	训练家塔	15	10	4	91	8	0x350F9C	0x2D5990	0x7218D4
7	4	训练家塔	15	10	3	91	8	0x350FB8	0x2D5AE0	0x3BA584
7	5	训练家塔	17	20	3	91	8	0x350FD4	0x2D5F84	0x3BA628
7	6	训练家塔	11	10	3	91	8	0x350FF0	0x2D6F28	0x3BA6FC
7	7	训练家塔	11	9	3	91	8	0x35100C	0x2D5BCC	0x721A80
7	8	训练家塔	11	9	1	91	8	0x351028	0x2D5754	0x720AC4
7	9	训练家塔	11	9	1	91	8	0x351044	0x343540	0x3BA7E4
8	0	点之穴	15	10	4	92	8	0x351060	0x2D5990	0x7228C4
8	1	点之穴	15	10	3	92	8	0x35107C	0x2D5AE0	0x3BA91C
8	2	点之穴	12	9	3	92	8	0x351098	0x33ACC4	0x720BBC
8	3	点之穴	11	9	3	92	8	0x3510B4	0x2D6AF0	0x3BAA58
8	4	点之穴	11	9	3	92	8	0x3510D0	0x2D6AF0	0x3BAA9C
8	5	点之穴	11	9	3	92	8	0x3510EC	0x2D5BCC	0x3BAB28
9	0	不归之穴	11	9	3	93	8	0x351108	0x2D5754	0x3BAB6C
9	1	不归之穴	15	10	4	93	8	0x351124	0x2D5990	0x72230C
9	2	不归之穴	15	10	3	93	8	0x351140	0x2D5AE0	0x3BACD4
9	3	不归之穴	12	12	3	93	8	0x35115C	0x33ABC8	0x7251FC
9	4	不归之穴	11	9	3	93	8	0x351178	0x2D5754	0x3BADEC
9	5	不归之穴	11	9	3	93	8	0x351194	0x2D5BCC	0x3BAE60
9	6	不归之穴	11	21	3	93	8	0x3511B0	0x2D6E28	0x3BAFD0
9	7	不归之穴	11	9	3	93	8	0x3511CC	0x2D5754	0x3BB068
10	0	标志之林	13	16	8	94	8	0x3511E8	0x31B5FC	0x3BB0EC
10	1	标志之林	13	15	3	94	8	0x351204	0x31B7A8	0x3BB184
10	2	标志之林	13	15	3	94	8	0x351220	0x31B954	0x3BB2AC
10	3	标志之林	13	15	3	94	8	0x35123C	0x31BB00	0x3BB32C
10	4	标志之林	13	15	3	94	8	0x351258	0x31BCAC	0x3BB3C4
10	5	标志之林	19	14	1	94	8	0x351274	0x31BEE4	0x3BB440
10	6	标志之林	5	7	2	94	8	0x351290	0x319F70	0x3BB47C
10	7	标志之林	15	20	6	94	8	0x3512AC	0x31A7DC	0x725BD8
10	8	标志之林	15	20	4	94	8	0x3512C8	0x31AA58	0x7235B8
10	9	标志之林	15	20	4	94	8	0x3512E4	0x31ACD4	0x3BB6A8
10	10	标志之林	14	23	3	94	8	0x351300	0x31AF7C	0x3BB6EC
10	11	标志之林	10	9	3	94	8	0x35131C	0x31B054	0x3BB76C
10	12	标志之林	15	10	4	94	8	0x351338	0x2D5990	0x74CCF0
10	13	标志之林	15	10	3	94	8	0x351354	0x2D5AE0	0x3BB88C
10	14	标志之林	18	15	4	94	8	0x351370	0x2D7168	0x3BBB78
10	15	标志之林	9	10	3	94	8	0x35138C	0x31B12C	0x723408
10	16	标志之林	13	20	3	94	8	0x3513A8	0x2D6370	0x3BBD68
10	17	标志之林	15	11	3	94	8	0x3513C4	0x31B29C	0x726B28
10	18	标志之林	11	9	3	94	8	0x3513E0	0x2D6AF0	0x3BBE80
10	19	标志之林	17	11	3	94	8	0x3513FC	0x31B438	0x7274E0
11	0	变幻洞窟	9	9	4	95	8	0x351418	0x2D8E80	0x3BBFA0
11	1	变幻洞窟	11	9	3	95	8	0x351434	0x2D5BCC	0x3BC014
11	2	变幻洞窟	20	11	3	95	8	0x351450	0x31C348	0x3BC0A0
11	3	变幻洞窟	15	23	3	95	8	0x35146C	0x2D6A04	0x3BC1A4
11	4	变幻洞窟	11	9	3	95	8	0x351488	0x2D5754	0x3BC218
11	5	变幻洞窟	15	10	4	95	8	0x3514A4	0x2D5990	0x72307C
11	6	变幻洞窟	15	10	3	95	8	0x3514C0	0x2D5AE0	0x3BC338
11	7	变幻洞窟	13	11	3	95	8	0x3514DC	0x31C48C	0x3BC3F4
11	8	变幻洞窟	10	10	4	95	8	0x3514F8	0x31C578	0x3BC440
11	9	变幻洞窟	11	9	1	95	8	0x351514	0x2D5754	0x721140
12	0	阿斯卡纳石室	30	25	3	96	8	0x351530	0x2D82C8	0x3BC62C
12	1	阿斯卡纳石室	28	11	6	96	8	0x35154C	0x31C804	0x726798
12	2	阿斯卡纳石室	15	11	1	96	8	0x351568	0x31C974	0x72695C
12	3	阿斯卡纳石室	15	11	1	96	8	0x351584	0x31CAE4	0x3BC780
12	4	阿斯卡纳石室	15	11	1	96	8	0x3515A0	0x31CC54	0x722C94
12	5	阿斯卡纳石室	15	10	4	96	8	0x3515BC	0x2D5990	0x721B7C
12	6	阿斯卡纳石室	15	10	3	96	8	0x3515D8	0x2D5AE0	0x3BC934
12	7	阿斯卡纳石室	11	9	3	96	8	0x3515F4	0x2D5BCC	0x3BC9A8
13	0	第3岛隧道	25	18	3	97	8	0x351610	0x31F000	0x7266B4
13	1	第3岛隧道	15	10	3	97	8	0x35162C	0x2D5AE0	0x3BCB20
14	0	阿斯卡纳的钥匙	13	10	8	98	8	0x351648	0x321004	0x7291A8
14	1	阿斯卡纳的钥匙	12	9	1	98	8	0x351664	0x321100	0x3BCC3C
