# PokeAPI 128bccadf9922328ac0770e07a526a17766ec598; display-hint only; current values remain Profile ROM evidence.
# profile_move_id	power	accuracy	pp	official_move_id	official_name
83	35	85	15	83	火焰旋涡
84	40	100	30	84	电击
85	90	100	15	85	十万伏特
86	0	90	20	86	电磁波
87	110	70	10	87	打雷
88	50	90	15	88	落石
89	100	100	10	89	地震
90	0	30	5	90	地裂
91	80	100	10	91	挖洞
92	0	90	10	92	剧毒
93	50	100	25	93	念力
94	90	100	10	94	精神强念
95	0	60	20	95	催眠术
96	0	0	40	96	瑜伽姿势
97	0	0	30	97	高速移动
98	40	100	30	98	电光一闪
99	20	100	20	99	愤怒
100	0	0	20	100	瞬间移动
101	0	100	15	101	黑夜魔影
102	0	0	10	102	模仿
103	0	85	40	103	刺耳声
104	0	0	15	104	影子分身
105	0	0	5	105	自我再生
106	0	0	30	106	变硬
107	0	0	10	107	变小
108	0	100	20	108	烟幕
109	0	100	10	109	奇异之光
110	0	0	40	110	缩入壳中
111	0	0	40	111	变圆
112	0	0	20	112	屏障
113	0	0	30	113	光墙
114	0	0	30	114	黑雾
115	0	0	20	115	反射壁
116	0	0	30	116	聚气
117	0	0	10	117	忍耐
118	0	0	10	118	挥指
119	0	0	20	119	鹦鹉学舌
121	100	75	10	121	炸蛋
122	30	100	30	122	舌舔
123	30	70	20	123	浊雾
124	65	100	20	124	污泥攻击
125	65	85	20	125	骨棒
126	110	85	5	126	大字爆炎
127	80	100	15	127	攀瀑
128	35	85	15	128	贝壳夹击
129	60	0	20	129	高速星星
130	130	100	10	130	火箭头锤
131	20	100	15	131	尖刺加农炮
132	10	100	35	132	缠绕
133	0	0	20	133	瞬间失忆
134	0	80	15	134	折弯汤匙
135	0	0	5	135	生蛋
136	130	90	10	136	飞膝踢
137	0	100	30	137	大蛇瞪眼
138	100	100	15	138	食梦
139	0	90	40	139	毒瓦斯
140	15	85	20	140	投球
141	80	100	10	141	吸血
142	0	75	10	142	恶魔之吻
143	140	90	5	143	神鸟猛击
144	0	0	10	144	变身
145	40	100	30	145	泡沫
146	70	100	10	146	迷昏拳
147	0	100	15	147	蘑菇孢子
148	0	100	20	148	闪光
149	0	100	15	149	精神波
150	0	0	40	150	跃起
151	0	0	20	151	溶化
152	100	90	10	152	蟹钳锤
153	250	100	5	153	大爆炸
154	18	80	15	154	乱抓
155	50	90	10	155	骨头回力镖
156	0	0	5	156	睡觉
157	75	90	10	157	岩崩
159	0	0	30	159	棱角化
160	0	0	30	160	纹理
161	80	100	10	161	三重攻击
162	0	90	10	162	愤怒门牙
163	70	100	20	163	劈开
164	0	0	10	164	替身
165	50	0	1	165	挣扎
166	0	0	1	166	写生
167	10	90	10	167	三连踢
168	60	100	25	168	小偷
169	0	0	10	169	蛛网
170	0	0	5	170	心之眼
171	0	100	15	171	恶梦
172	60	100	25	172	火焰轮
173	50	100	15	173	打鼾
174	0	0	10	174	诅咒
175	0	100	15	175	抓狂
176	0	0	30	176	纹理2
177	100	95	5	177	气旋攻击
178	0	100	40	178	棉孢子
180	0	0	5	288	怨念
181	40	100	25	181	细雪
182	0	0	10	182	守住
183	40	100	30	183	音速拳
185	60	0	20	185	出奇一击
186	0	75	10	186	天使之吻
187	0	0	10	187	腹鼓
188	90	100	10	188	污泥炸弹
189	20	100	10	189	掷泥
190	65	85	10	190	章鱼桶炮
191	0	0	20	191	撒菱
192	120	50	5	192	电磁炮
193	0	0	40	193	识破
194	0	0	5	194	同命
196	55	95	15	196	冰冻之风
197	0	0	5	197	看穿
198	25	90	10	198	骨棒乱打
199	0	0	5	199	锁定
200	120	100	10	200	逆鳞
201	0	0	10	201	沙暴
202	75	100	10	202	终极吸取
203	0	0	10	203	挺住
204	0	100	20	204	撒娇
205	30	90	20	205	滚动
206	40	100	40	206	点到为止
207	0	85	15	207	虚张声势
208	0	0	5	208	喝牛奶
209	65	100	20	209	电光
210	40	95	20	210	连斩
211	70	90	25	211	钢翼
212	0	0	5	212	黑色目光
213	0	100	15	213	迷人
214	0	0	10	214	梦话
215	0	0	5	215	治愈铃声
216	0	100	20	216	报恩
217	0	90	15	217	礼物
218	0	100	20	218	迁怒
219	0	0	25	219	神秘守护
220	0	0	20	220	分担痛楚
221	100	95	5	221	神圣之火
222	0	100	30	222	震级
223	100	50	5	223	爆裂拳
224	120	85	10	224	超级角击
225	60	100	20	225	龙息
226	0	0	40	226	接棒
227	0	100	5	227	再来一次
228	40	100	20	228	追打
229	50	100	40	229	高速旋转
230	0	100	20	230	甜甜香气
231	100	75	15	231	铁尾
232	50	95	35	232	金属爪
233	70	0	10	233	借力摔
234	0	0	5	234	晨光
235	0	0	5	235	光合作用
236	0	0	5	236	月光
237	60	100	15	237	觉醒力量
238	100	80	5	238	十字劈
239	40	100	20	239	龙卷风
240	0	0	5	240	求雨
241	0	0	5	241	大晴天
242	80	100	15	242	咬碎
243	0	100	20	243	镜面反射
244	0	0	10	244	自我暗示
245	80	100	5	245	神速
246	60	100	5	246	原始之力
247	80	100	15	247	暗影球
248	120	100	10	248	预知未来
249	40	100	15	249	碎岩
250	35	85	15	250	潮旋
251	0	100	10	251	围攻
252	40	100	10	252	击掌奇袭
253	90	100	10	253	吵闹
254	0	0	20	254	蓄力
255	0	100	10	255	喷出
256	0	0	10	256	吞下
257	95	90	10	257	热风
258	0	0	10	258	冰雹
259	0	100	15	259	无理取闹
260	0	100	15	260	吹捧
262	0	100	10	262	临别礼物
263	70	100	20	263	硬撑
264	150	100	20	264	真气拳
265	70	100	10	265	清醒
266	0	0	20	266	看我嘛
267	0	0	20	267	自然之力
268	0	0	20	268	充电
269	0	100	20	269	挑衅
270	0	0	20	270	帮助
271	0	100	10	271	戏法
272	0	0	10	272	扮演
273	0	0	10	273	祈愿
274	0	0	20	274	借助
275	0	0	20	275	扎根
276	120	100	5	276	蛮力
277	0	0	15	277	魔法反射
278	0	0	10	278	回收利用
279	60	100	10	279	报复
280	75	100	15	280	劈瓦
281	0	0	10	281	哈欠
282	65	100	20	282	拍落
283	0	100	5	283	蛮干
284	150	100	5	284	喷火
285	0	0	10	285	特性互换
286	0	0	10	286	封印
287	0	0	20	287	焕然一新
288	0	0	5	288	怨念
289	0	0	10	289	抢夺
290	70	100	20	290	秘密之力
291	80	100	10	291	潜水
292	15	100	20	292	猛推
293	0	0	20	293	保护色
294	0	0	20	294	萤火
295	95	100	5	295	洁净光芒
296	95	100	5	296	薄雾球
297	0	100	15	297	羽毛舞
298	0	100	20	298	摇晃舞
299	85	90	10	299	火焰踢
300	0	0	15	300	玩泥巴
301	30	90	20	301	冰球
302	60	100	15	302	尖刺臂
303	0	0	5	303	偷懒
304	90	100	10	304	巨声
305	50	100	15	305	剧毒牙
306	75	95	10	306	撕裂爪
307	150	90	5	307	爆炸烈焰
308	150	90	5	308	加农水炮
309	90	90	10	309	彗星拳
310	30	100	15	310	惊吓
311	50	100	10	311	气象球
312	0	0	5	312	芳香治疗
313	0	100	20	313	假哭
314	60	95	25	314	空气利刃
315	130	90	5	315	过热
316	0	0	40	316	气味侦测
317	60	95	15	317	岩石封锁
318	60	100	5	318	银色旋风
319	0	85	40	319	金属音
320	0	55	15	320	草笛
321	0	100	20	321	挠痒
322	0	0	20	322	宇宙力量
323	150	100	5	323	喷水
324	75	100	15	324	信号光束
325	60	0	20	325	暗影拳
326	80	100	20	326	神通力
327	85	90	15	327	冲天拳
329	0	30	5	329	绝对零度
330	90	85	10	330	浊流
331	25	100	30	331	种子机关枪
332	60	0	20	332	燕返
333	25	100	30	333	冰锥
334	0	0	15	334	铁壁
335	0	0	5	335	挡路
336	0	0	40	336	长嚎
337	80	100	15	337	龙爪
338	150	90	5	338	疯狂植物
339	0	0	20	339	健美
340	85	85	5	340	弹跳
341	55	95	15	341	泥巴射击
342	50	100	25	342	毒尾
343	60	100	25	343	渴望
344	120	100	15	344	伏特攻击
345	60	0	20	345	魔法叶
346	0	0	15	346	玩水
347	0	0	20	347	冥想
348	90	100	15	348	叶刃
349	0	0	20	349	龙之舞
350	25	90	10	350	岩石爆击
351	60	0	20	351	电击波
352	60	100	20	352	水之波动
353	140	100	5	353	破灭之愿
354	140	90	5	354	精神突进
357	40	100	20	453	水流喷射
358	90	90	10	401	水流尾
359	80	0	20	396	波导弹
360	60	100	10	419	雪崩
361	120	100	15	413	勇鸟猛攻
362	90	100	10	405	虫鸣
363	40	100	30	418	子弹拳
364	50	90	10	451	充电光束
365	120	100	5	370	近身战
366	70	100	20	440	十字毒刃
367	80	100	15	399	恶之波动
368	80	100	15	435	放电
369	130	90	5	434	流星群
370	85	100	10	406	龙之波动
371	75	100	10	409	吸取拳
372	90	100	10	414	大地之力
373	90	100	10	412	能量球
374	120	70	5	411	真气弹
375	60	100	10	395	发劲
376	150	90	5	416	终极冲击
377	0	100	20	447	打草结
378	120	80	5	441	垃圾射击
379	100	90	10	359	臂锤
380	150	80	5	457	双刃头锤
381	40	100	30	420	冰砾
382	80	100	15	442	铁头
383	80	100	15	436	喷烟
384	60	0	20	443	磁铁炸弹
385	65	85	10	426	泥巴炸弹
386	0	0	20	417	诡计
387	70	100	15	400	暗袭要害
388	60	100	5	466	奇异之风
389	80	100	20	408	力量宝石
390	120	85	10	438	强力鞭打
391	70	100	20	427	精神利刃
392	90	85	20	431	攀岩
393	0	0	20	397	岩石打磨
394	150	90	5	439	岩石炮
395	0	0	5	355	羽栖
396	80	100	15	402	种子炸弹
397	70	100	15	421	暗影爪
398	40	100	30	425	影子偷袭
399	40	100	30	410	真空波
400	80	100	15	404	十字剪
401	80	90	15	428	意念头锤
402	0	100	10	415	掉包
403	80	95	10	529	直冲钻
404	60	100	20	523	重踏
405	55	95	15	527	电网
406	50	100	20	488	蓄能焰袭
407	60	90	10	524	冰息
408	60	100	25	531	爱心印章
409	0	0	15	468	磨爪
410	75	100	10	532	木角
411	0	0	20	489	盘蜷
412	110	70	10	542	暴风
413	85	90	10	556	冰柱坠击
414	0	0	30	526	自我激励
415	0	0	20	483	蝶舞
416	65	90	10	536	青草搅拌器
417	65	100	20	490	下盘踢
418	55	95	15	555	大声咆哮
419	50	100	20	522	虫之抵抗
420	65	100	20	537	疯狂滚压
421	60	100	10	480	山岚摔
422	65	100	10	474	毒液冲击
423	90	100	15	528	疯狂伏特
424	80	100	20	398	毒击
425	40	100	20	491	酸液炸弹
426	80	100	10	552	火之舞
427	50	0	15	499	清除之烟
428	130	90	5	437	飞叶风暴
429	100	80	5	444	尖石攻击
430	50	100	10	371	以牙还牙
431	65	95	15	424	火焰牙
432	65	95	15	423	冰冻牙
433	65	95	15	422	雷电牙
434	120	100	15	394	闪焰冲锋
436	65	100	10	506	祸不单行
437	40	90	15	530	二连劈
438	35	90	10	458	二连击
439	0	0	10	538	棉花防守
440	55	100	15	512	杂技
441	70	100	15	481	烈焰溅射
442	70	100	20	369	急速折返
443	70	100	20	521	伏特替换
444	60	90	10	525	龙尾
445	60	90	10	509	巴投
446	65	85	10	429	镜光射击
447	120	100	15	452	木槌
448	0	0	10	505	治愈波动
449	80	100	10	430	加农光炮
450	60	100	20	450	虫咬
451	60	100	20	365	啄食
452	0	0	15	504	破壳
453	0	0	20	476	愤怒粉
454	70	100	10	358	唤醒巴掌
455	75	95	10	534	贝壳刃
456	0	0	20	383	仿效
458	70	100	5	389	突袭
459	80	100	15	503	热水
460	65	100	10	362	盐水
461	40	100	30	584	妖精之风
462	0	100	30	608	圆瞳
463	90	90	10	583	嬉闹
464	95	100	15	585	月亮之力
465	50	100	10	577	吸取之吻
466	80	100	10	605	魔法闪耀
467	40	0	15	574	魅惑之声
468	0	0	20	446	隐形岩
469	0	0	20	390	毒菱
470	40	100	20	612	增强拳
471	85	100	10	710	水流裂破
472	75	100	10	595	魔法火焰
473	140	100	10	586	爆音波
475	0	100	10	388	烦恼种子
476	0	100	10	380	胃液
477	0	0	10	601	大地掌控
478	0	0	10	579	鲜花防守
479	0	0	10	563	耕地
480	0	0	10	508	换档
481	0	0	20	564	黏黏网
482	20	100	10	500	辅助力量
483	0	0	30	367	点穴
484	0	100	5	386	惩罚
485	60	100	10	372	恶意追击
486	90	100	15	572	落英缤纷
487	30	100	10	364	佯攻
488	20	100	20	609	蹭蹭脸颊
489	20	100	10	681	嚣张
490	95	95	10	667	十万马力
491	75	100	10	707	跺脚
492	100	75	10	407	龙之俯冲
493	90	100	15	533	圣剑
509	90	100	15	57	冲浪
